bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
255,159234.890203,0,0,7.468216850e-4,4.755101843e-4,-0.88954738,0.88954738,0.000000,10.89242766
256,159714.865629,0,0,2.347754081e-4,2.125765135e-4,-0.84650688,0.84650688,0.000000,10.89242766
257,160194.841055,1,1,3.636925205e-5,9.355748853e-3,0.91875439,0.91875439,0.000000,10.89242766
258,160674.816481,1,1,1.146257565e-5,1.176656764e-2,0.97900078,0.97900078,0.000000,10.89242766
259,161159.627485,0,0,9.541573493e-4,1.006892352e-3,-0.82335194,0.82335194,4.827532,10.89242766
260,161631.630229,1,1,4.896006130e-5,8.173068129e-3,0.87749328,0.87749328,-7.975481,10.89242766
261,162122.884661,0,0,6.811654261e-4,2.604670266e-4,-0.93217015,0.93217015,11.270715,10.89242766
262,162602.887163,0,0,7.736858987e-4,1.381986306e-4,-0.96773140,0.96773140,0.000000,10.89242766
263,163071.859599,1,1,1.063926619e-4,8.709883544e-3,0.76514281,0.76514281,-11.011713,10.89242766
264,163556.047870,0,0,9.932704208e-4,3.071094719e-4,-0.94479544,0.94479544,4.215449,10.89242766
265,164030.493392,1,1,9.093035011e-5,9.782159564e-3,0.81611660,0.81611660,-5.525117,10.89242766
266,164510.454823,1,1,3.759753898e-5,1.114350010e-2,0.92910457,0.92910457,0.000000,10.89242766
267,164993.606842,0,0,1.270057856e-3,5.033554518e-4,-0.92978412,0.92978412,3.185279,10.89242766
268,165464.926480,1,1,5.640531335e-5,9.094801293e-3,0.87344142,0.87344142,-8.638013,10.89242766
269,165944.869734,1,1,1.442538267e-5,1.163694266e-2,0.97335484,0.97335484,0.000000,10.89242766
270,166424.812989,1,1,3.758569368e-6,1.459182123e-2,0.99440434,0.99440434,0.000000,10.89242766
271,166915.380559,0,0,1.265442255e-3,1.132407006e-3,-0.84816359,0.84816359,10.606637,10.89242766
272,167395.359169,0,0,5.191653599e-4,1.140772447e-5,-0.99597354,0.99597354,0.000000,10.89242766
273,167866.741900,1,1,1.040290471e-4,8.449358870e-3,0.76350006,0.76350006,-8.581577,10.89242766
274,168346.691905,1,1,5.904767083e-6,1.307326896e-2,0.99020867,0.99020867,0.000000,10.89242766
