bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
204,121279.190950,0,0,2.045273434e-2,4.548833871e-4,-0.98674567,0.98674567,0.000000,3.33375007
205,121759.153660,0,0,2.723283117e-2,1.038443094e-4,-0.99771498,0.99771498,0.000000,3.33375007
206,122239.116370,0,0,2.872765893e-2,5.877301555e-5,-0.99877339,0.99877339,0.000000,3.33375007
207,122719.079080,0,0,2.534680655e-2,1.478811311e-6,-0.99996500,0.99996500,0.000000,3.33375007
208,123199.041791,0,0,1.851707262e-2,4.178819326e-5,-0.99864704,0.99864704,0.000000,3.33375007
209,123682.031929,1,1,3.183290203e-4,4.550908003e-2,0.95442464,0.95442464,3.022391,3.33375007
210,124159.265886,0,0,1.690215422e-2,7.750384171e-4,-0.97286403,0.97286403,-2.734271,3.33375007
211,124644.058719,1,1,6.722934175e-4,5.188385875e-2,0.91718232,0.91718232,4.821127,3.33375007
212,125118.903522,0,0,2.027970081e-2,1.027454164e-3,-0.97006030,0.97006030,-5.126394,3.33375007
213,125598.866175,0,0,2.206586104e-2,4.703916385e-4,-0.98729229,0.98729229,0.000000,3.33375007
214,126081.345678,1,1,2.377260748e-4,6.102194576e-2,0.97435813,0.97435813,2.512662,3.33375007
215,126561.316707,1,1,2.547601235e-4,6.423746128e-2,0.97390233,0.97390233,0.000000,3.33375007
216,127038.219521,0,0,2.141740878e-2,9.310513458e-4,-0.97425594,0.97425594,-3.063109,3.33375007
217,127520.937180,1,1,4.536684917e-4,6.145307719e-2,0.95196044,0.95196044,2.752253,3.33375007
218,128000.907173,1,1,1.149500533e-4,6.456263915e-2,0.98819895,0.98819895,0.000000,3.33375007
219,128479.092678,0,0,2.374102799e-2,8.545208550e-4,-0.97863729,0.97863729,-1.781518,3.33375007
220,128960.810478,1,1,4.299662821e-4,6.625578192e-2,0.95764759,0.95764759,1.750828,3.33375007
221,129440.780368,1,1,1.875655861e-4,6.394770705e-2,0.98063287,0.98063287,0.000000,3.33375007
222,129920.750258,1,1,2.238843905e-5,8.101061670e-2,0.99815904,0.99815904,0.000000,3.33375007
223,130400.720148,1,1,8.490913510e-5,8.126126183e-2,0.99305738,0.99305738,0.000000,3.33375007
224,130879.744502,0,0,2.572304195e-2,9.183031028e-4,-0.97880982,0.97880982,-0.943963,3.33375007
225,131360.729445,1,1,4.615966666e-4,6.902143923e-2,0.95638204,0.95638204,1.016505,3.33375007
226,131840.699577,1,1,1.238461796e-5,6.404407910e-2,0.99871149,0.99871149,0.000000,3.33375007
227,132319.910154,0,0,2.270498408e-2,8.082826213e-4,-0.97886871,0.97886871,-0.758292,3.33375007
228,132800.209725,1,1,4.157302328e-4,6.847774344e-2,0.96032443,0.96032443,0.331414,3.33375007
229,133280.178434,1,1,2.129951578e-4,6.911420568e-2,0.97966115,0.97966115,0.000000,3.33375007
230,133760.147143,1,1,7.736516531e-5,7.847637483e-2,0.99344844,0.99344844,0.000000,3.33375007
231,134239.116830,0,0,2.888045776e-2,7.907856675e-4,-0.98370707,0.98370707,-0.997360,3.33375007
232,134719.082214,0,0,2.343614901e-2,1.058010303e-3,-0.97327861,0.97327861,0.000000,3.33375007
233,135200.277045,1,1,1.160656725e-3,6.535667939e-2,0.88821141,0.88821141,1.227401,3.33375007
234,135680.246521,1,1,1.865677237e-4,6.589690299e-2,0.98129944,0.98129944,0.000000,3.33375007
235,136157.970868,0,0,2.180684212e-2,8.423177816e-4,-0.97709253,0.97709253,-2.241393,3.33375007
236,136640.727232,1,1,5.317214305e-4,6.816847705e-2,0.94931088,0.94931088,2.789709,3.33375007
237,137120.605317,0,0,2.285965767e-2,8.226299402e-4,-0.97864159,0.97864159,-0.093063,3.33375007
238,137600.576310,0,0,2.649749384e-2,2.451751196e-4,-0.99446440,0.99446440,0.000000,3.33375007
239,138085.381163,1,1,5.018240418e-4,6.125694165e-2,0.94683112,0.94683112,4.825817,3.33375007
240,138564.971439,0,0,2.345709925e-2,4.441203748e-4,-0.98870558,0.98870558,-0.396144,3.33375007
241,139047.348608,1,1,2.010131070e-4,7.142081271e-2,0.98140883,0.98140883,2.387432,3.33375007
242,139527.342325,1,1,3.986674065e-4,6.458614362e-2,0.95967372,0.95967372,0.000000,3.33375007
243,140001.039958,0,0,3.165595951e-2,9.732150330e-4,-0.98172474,0.98172474,-6.285608,3.33375007
244,140481.012723,0,0,2.835461303e-2,3.064135859e-4,-0.99353787,0.99353787,0.000000,3.33375007
245,140960.985488,0,0,3.253698353e-2,2.194926839e-4,-0.99596111,0.99596111,0.000000,3.33375007
246,141445.867833,1,1,6.826433238e-4,6.149208185e-2,0.92862352,0.92862352,4.901411,3.33375007
247,141925.856936,1,1,6.025744196e-5,5.994660370e-2,0.99332031,0.99332031,0.000000,3.33375007
248,142401.353624,0,0,2.712503290e-2,1.223876227e-3,-0.97329296,0.97329296,-4.484939,3.33375007
249,142886.041212,1,1,6.713858500e-4,6.026086564e-2,0.92837552,0.92837552,4.705592,3.33375007
250,143362.923713,0,0,2.416840043e-2,6.514016173e-4,-0.98396013,0.98396013,-3.102167,3.33375007
251,143842.903211,0,0,2.325509009e-2,8.954746668e-4,-0.97716271,0.97716271,0.000000,3.33375007
252,144325.195674,1,1,5.848039096e-4,5.637361794e-2,0.93314531,0.93314531,2.309116,3.33375007
253,144805.182869,1,1,3.515801643e-4,6.394222835e-2,0.96399930,0.96399930,0.000000,3.33375007
254,145280.992690,0,0,2.543306409e-2,1.036784931e-3,-0.97583935,0.97583935,-4.170423,3.33375007
255,145760.965984,0,0,3.247301787e-2,1.841584639e-4,-0.99660353,0.99660353,0.000000,3.33375007
256,146240.939278,0,0,2.235302623e-2,1.167851919e-4,-0.99687055,0.99687055,0.000000,3.33375007
257,146723.827437,1,1,5.489026273e-4,5.453561622e-2,0.93507009,0.93507009,2.910016,3.33375007
258,147203.810431,1,1,1.119435098e-4,5.683144658e-2,0.98695240,0.98695240,0.000000,3.33375007
259,147679.644047,0,0,2.320850097e-2,6.043865245e-4,-0.98449809,0.98449809,-4.142473,3.33375007
260,148163.886951,1,1,6.030963591e-4,6.256331602e-2,0.93772800,0.93772800,4.266607,3.33375007
261,148641.244558,0,0,2.547839482e-2,7.688320423e-4,-0.98205915,0.98205915,-2.621431,3.33375007
262,149121.219227,0,0,2.562125149e-2,5.086073935e-4,-0.98816138,0.98816138,0.000000,3.33375007
263,149604.255991,1,1,7.199383961e-4,6.052008660e-2,0.92370986,0.92370986,3.057000,3.33375007
264,150083.588237,0,0,2.413121351e-2,7.172244731e-4,-0.98232668,0.98232668,-0.651527,3.33375007
265,150564.963083,1,1,1.645885136e-4,6.664670020e-2,0.98366861,0.98366861,1.389842,3.33375007
266,151044.950403,1,1,3.539740999e-4,6.399203795e-2,0.96378631,0.96378631,0.000000,3.33375007
267,151518.804661,0,0,2.770522012e-2,4.766013960e-4,-0.98973272,0.98973272,-6.122858,3.33375007
268,152002.472507,1,1,4.167274490e-4,6.627144172e-2,0.95893436,0.95893436,3.694777,3.33375007
269,152482.451734,1,1,3.499643248e-4,6.471214130e-2,0.96458062,0.96458062,0.000000,3.33375007
270,152962.430961,1,1,3.062107192e-5,7.919449928e-2,0.99742529,0.99742529,0.000000,3.33375007
271,153441.098465,0,0,3.066377748e-2,1.377175781e-3,-0.97341425,0.97341425,-1.309540,3.33375007
272,153921.073326,0,0,2.594003828e-2,4.351061259e-4,-0.98998751,0.98998751,0.000000,3.33375007
273,154405.543993,1,1,1.109081335e-3,5.804694168e-2,0.88023518,0.88023518,4.488325,3.33375007
274,154885.533816,1,1,9.526233985e-5,6.062101451e-2,0.98957702,0.98957702,0.000000,3.33375007
275,155362.187207,0,0,2.292275310e-2,1.519800228e-3,-0.96100003,0.96100003,-3.330880,3.33375007
276,155845.380280,1,1,5.445381122e-4,6.377301494e-2,0.94464403,0.94464403,3.209005,3.33375007
277,156322.990364,0,0,2.401274101e-2,6.350462228e-4,-0.98425912,0.98425912,-2.375374,3.33375007
278,156806.533855,1,1,1.561437181e-4,7.110080143e-2,0.98546399,0.98546399,3.556066,3.33375007
279,157286.527208,1,1,7.702342207e-5,6.575688139e-2,0.99222049,0.99222049,0.000000,3.33375007
280,157762.459695,0,0,3.419992423e-2,7.309090822e-4,-0.98726028,0.98726028,-4.054108,3.33375007
281,158242.439534,0,0,3.111164140e-2,3.461113367e-4,-0.99334814,0.99334814,0.000000,3.33375007
282,158722.419372,0,0,3.816080974e-2,2.108577125e-4,-0.99669060,0.99669060,0.000000,3.33375007
283,159202.399211,0,0,2.626876030e-2,7.458750355e-5,-0.99829802,0.99829802,0.000000,3.33375007
284,159686.757725,1,1,6.858437980e-4,5.066448139e-2,0.91363957,0.91363957,4.371390,3.33375007
285,160166.752135,1,1,5.569695038e-4,5.517503074e-2,0.93488558,0.93488558,0.000000,3.33375007
