bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction
300,206280.723108,0,0,2.263129450e-3,8.113948990e-4,-0.45196034,0.45196034,0.000000
301,206760.939238,1,1,2.045606047e-5,1.224416470e-3,0.96875715,0.96875715,0.000000
302,207241.155369,0,0,2.312112823e-3,8.781864062e-4,-0.42871046,0.42871046,0.000000
303,207721.371499,0,0,2.006705341e-3,3.203559397e-5,-0.96694211,0.96694211,0.000000
304,208201.587630,0,0,2.356024804e-3,5.516283813e-5,-0.95188772,0.95188772,0.000000
305,208684.030712,1,1,8.327033165e-5,9.803457026e-4,0.85068317,0.85068317,2.223247
306,209164.254254,0,0,2.064104783e-3,5.452722630e-4,-0.56481100,0.56481100,0.000000
307,209644.477795,1,1,1.367700640e-5,1.348186600e-3,0.98091150,0.98091150,0.000000
308,210124.701336,1,1,3.823727637e-5,1.870627440e-3,0.96190713,0.96190713,0.000000
309,210604.924878,1,1,8.820903424e-5,1.777374072e-3,0.90996225,0.90996225,0.000000
310,211085.148419,0,0,1.834944901e-3,5.019456023e-4,-0.55281462,0.55281462,0.000000
311,211565.371960,0,0,2.192406934e-3,1.580661652e-4,-0.85890570,0.85890570,0.000000
312,212045.595502,0,0,2.946109592e-3,1.428498492e-5,-0.98984257,0.98984257,0.000000
313,212525.819043,0,0,2.988237660e-3,6.257583158e-5,-0.95685947,0.95685947,0.000000
314,213006.951483,1,1,6.219637304e-5,1.015854404e-3,0.89007935,0.89007935,0.907386
315,213487.178049,0,0,2.422278017e-3,7.393799723e-4,-0.51360372,0.51360372,0.000000
316,213967.404615,0,0,2.012126489e-3,2.665147331e-5,-0.97249471,0.97249471,0.000000
317,214441.907556,1,1,1.798993607e-5,7.871618528e-4,0.95750536,0.95750536,-5.714101
318,214922.115075,0,0,2.126954543e-3,5.804530245e-4,-0.55363333,0.55363333,0.000000
319,215402.322594,0,0,1.956751049e-3,2.464303616e-5,-0.97383006,0.97383006,0.000000
320,215881.322138,1,1,5.703145585e-5,1.051496898e-3,0.90200933,0.90200933,-1.205964
321,216361.525637,1,1,5.977066858e-5,1.885920612e-3,0.94155073,0.94155073,0.000000
322,216841.969429,0,0,1.961454264e-3,3.147253304e-4,-0.71097721,0.71097721,0.239893
323,217322.173727,0,0,2.091478647e-3,5.684261090e-5,-0.94436691,0.94436691,0.000000
324,217802.378026,0,0,2.528709555e-3,7.602416753e-5,-0.93864015,0.93864015,0.000000
325,218282.582325,0,0,2.404100115e-3,4.880139682e-6,-0.99573502,0.99573502,0.000000
326,218762.786623,0,0,2.630888119e-3,3.688916423e-5,-0.97090644,0.97090644,0.000000
327,219242.990922,0,0,2.874394261e-3,5.357940377e-6,-0.99608290,0.99608290,0.000000
